USER_ID,pageview_news_dur,pageview_movies_dur,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920
37,1163,"","","","",1,"","","",""
502,1200,"","","","",1,"","","",""
88,320,"","","",1,1,"","","",""
547,1002,"","","","",1,"","","",""
107,1202,"","","","",1,"","","",""
619,1320,"","","","",1,"","","",""
891,1348,"","","","",1,"","","",""
9,1318,"","","",1,16,"","","",""
552,1344,"","","",1,17,"","","",""
586,1263,"","","","",1,"","","",""
609,1289,"","","","",1,"","","",""
286,1280,"","","","",1,"","","",""
505,1274,"","","","",1,"","","",""
538,1262,"","","","",1,"","","",""
423,1149,"","","","",1,"","","",""
695,1252,"","","","",1,"","","",""
381,1298,"","","","",1,"","","",""
498,1263,"","","","",1,"","","",""
35,1347,"","","","",1,"","","",""
503,1263,"","","","",1,"","","",""
583,1014,"","","","",1,"","","",""
594,"",1305,"","","","","","","",1
610,1278,"","","","",1,"","","",""
614,1182,"","","","",1,"","","",""
880,1345,"","","","",1,"","","",""
698,1140,"","","","",1,"","","",""
900,1182,"","","","",1,"","","",""
437,1262,"","","","",1,"","","",""
441,378,"","","",1,1,"","","",""
884,1009,"","","","",1,"","","",""
537,753,"","","","",1,"","","",""
960,1176,"","","","",1,"","","",""
114,685,"","","",1,1,"","","",""
301,1202,"","","","",1,"","","",""
494,1337,"","","","",1,"","","",""
890,1415,"","","","",1,"","","",""
445,1262,"","","","",1,"","","",""
241,"",1349,"","","","","","","",1
495,1305,"","","","",1,"","","",""
39,1262,"","","","",1,"","","",""
922,1263,"","","","",1,"","","",""
380,1340,"","","","",1,"","","",""
629,1262,"","","","",1,"","","",""
549,1290,"","","","",1,"","","",""
238,1263,"","","","",1,"","","",""
446,1014,"","","",3,21,"","","",""
624,1353,"","","","",1,"","","",""
648,1263,"","","","",1,"","","",""
958,1263,"","","","",1,"","","",""
84,320,"","","",1,1,"","","",""
1000,1361,"","","","",1,"","","",""
314,1262,"","","","",1,"","","",""
627,1339,"","","","",1,"","","",""
691,1352,"","","","",1,"","","",""
87,320,"","","",1,1,"","","",""
649,1344,"","","","",1,"","","",""
