USER_ID,pageview_news_fre_365,pageview_news_fre_730,pageview_news_fre_1460,pageview_news_fre_2920,pageview_movies_fre_365,pageview_movies_fre_730,pageview_movies_fre_1460,pageview_movies_fre_2920,pageview_news_dur,pageview_movies_dur
474,"","","",1,"","","","",1262,""
238,"","","",1,"","","","",1263,""
111,"","","",1,"","","","",1182,""
645,"","","",1,"","","","",1262,""
694,"","","",1,"","","","",1242,""
885,"","","",1,"","","","",1009,""
436,"","","",1,"","","","",1263,""
709,"","","",1,"","","","",1352,""
901,"","","",10,"","","","",1174,""
962,"","","",1,"","","","",1263,""
507,"","",1,19,"","","","",641,""
545,"","",1,1,"","","","",685,""
606,"","","",1,"","","","",1290,""
891,"","","",1,"","","","",1348,""
412,"","","",1,"","","","",949,""
93,"","",11,11,"","","","",320,""
38,"","",1,1,"","","","",362,""
40,"","","",1,"","","","",1051,""
376,"","","",1,"","","","",1183,""
506,"","","",1,"","","","",1263,""
582,"","","",1,"","","","",1014,""
585,"","","",1,"","","","",1228,""
913,"","","",1,"","","","",1342,""
25,"","","",1,"","","","",1262,""
688,"","","",1,"","","","",1202,""
914,"","","",1,"","","","",1263,""
270,"","","",1,"","","","",1263,""
271,"","","",1,"","","","",1262,""
297,"","","",1,"","","","",1320,""
879,"","","",1,"","","","",1282,""
971,"","","",1,"","","","",1263,""
156,"","","",1,"","","","",1262,""
288,"","","",9,"","","","",1014,""
303,"","","",1,"","","","",1262,""
44,"","","",1,"","","","",1263,""
957,"","","",1,"","","","",1263,""
963,"","","",1,"","","","",1339,""
985,"","",1,8,"","","",3,457,1099
115,"","",1,1,"","","","",685,""
241,"","","","","","","",1,"",1349
82,"","",1,1,"","","","",320,""
283,"","","",1,"","","","",998,""
998,"","","",1,"","","","",1361,""
650,"","","",1,"","","","",1331,""
965,"","","",1,"","","","",1263,""
285,"","","","","","","",1,"",1347
471,"","","",1,"","","","",1014,""
92,"","",1,1,"","","","",320,""
380,"","","",1,"","","","",1340,""
615,"","","",1,"","","","",1366,""
108,"","","",1,"","","","",1262,""
117,"","","",1,"","","","",1349,""
414,"","","",1,"","","","",1359,""
576,"","","",1,"","","","",1164,""
612,"","","",1,"","","","",1234,""
968,"","","",1,"","","","",1339,""
605,"","","",1,"","","","",1290,""
627,"","","",1,"","","","",1339,""
86,"","",1,1,"","","","",320,""
416,"","","",1,"","","","",1263,""
437,"","","",1,"","","","",1262,""
616,"","","",1,"","","","",1366,""
363,"","","",1,"","","","",914,""
81,"","",1,1,"","","","",320,""
896,"","","",1,"","","","",1263,""
114,"","",1,1,"","","","",685,""
242,"","",3,11,"","","","",705,""
33,"","","",1,"","","","",1263,""
366,"","","",1,"","","","",821,""
430,"","","",1,"","","","",1317,""
540,"","","",1,"","","","",1262,""
622,"","","",1,"","","","",1350,""
708,"","","",1,"","","","",1199,""
916,"","","",1,"","","","",1337,""
213,"","",2,10,"","","","",515,""
536,"","","",1,"","","","",1280,""
592,"","","","","","","",1,"",1305
958,"","","",1,"","","","",1263,""
150,"","","",1,"","","","",1281,""
269,"","","",1,"","","","",1262,""
526,"","","",1,"","","","",1356,""
623,"","","",1,"","","","",1350,""
382,"","",1,30,"","","","",313,""
593,"","","","","","","",1,"",1305
654,"","","",1,"","","","",1352,""
153,"","","",1,"","","","",842,""
500,"","","",1,"","","","",1237,""
148,"","","",1,"","","","",1262,""
240,"","","","","","","",1,"",1349
643,"","","",1,"","","","",1245,""
159,"","","",1,"","","","",1353,""
239,"","","",1,"","","","",1263,""
377,"","","",1,"","","","",1183,""
304,"","","",1,"","","","",1350,""
427,"","","",1,"","","","",1262,""
589,"","","",1,"","","","",1361,""
642,"","","",1,"","","","",1350,""
106,"","",1,1,"","","","",320,""
158,"","","",1,"","","","",1263,""
236,"","","",1,"","","","",1262,""
547,"","","",1,"","","","",1002,""
84,"","",1,1,"","","","",320,""
266,"","","",1,"","","","",1262,""
497,"","","",1,"","","","",1002,""
922,"","","",1,"","","","",1263,""
648,"","","",1,"","","","",1263,""
494,"","","",1,"","","","",1337,""
79,"","",1,1,"","","","",320,""
893,"","","",1,"","","","",1263,""
444,"","",1,1,"","","","",611,""
701,"","","",1,"","","","",1337,""
9,"","",1,16,"","","","",638,""
212,"","","",1,"","","","",1009,""
116,"","","",1,"","","","",1263,""
32,"","","",1,"","","","",1324,""
624,"","","",1,"","","","",1353,""
152,"","","",1,"","","","",1263,""
299,"","","",1,"","","","",1009,""
314,"","","",1,"","","","",1262,""
134,"","",1,12,"","","","",520,""
538,"","","",1,"","","","",1262,""
88,"","",1,1,"","","","",320,""
1,"","","",1,"","","","",1340,""
149,"","","",1,"","","","",978,""
899,"","","",1,"","","","",1308,""
105,"","",1,1,"","","","",320,""
237,"","","",1,"","","","",1262,""
550,"","","",1,"","","","",1262,""
646,"","","",1,"","","","",1263,""
600,"","","",1,"","","","",1257,""
305,"","","",1,"","","","",1341,""
551,"","","",1,"","","","",1348,""
472,"","","",1,"","","","",1361,""
960,"","","",1,"","","","",1176,""
571,"","","","","","","",1,"",1060
588,"","","",1,"","","","",1361,""
599,"","","",1,"","","","",1327,""
211,"","","",1,"","","","",1009,""
36,"","","",1,"","","","",1262,""
420,"","","",1,"","","","",1263,""
37,"","","",1,"","","","",1163,""
546,"","",1,1,"","","","",685,""
603,"","","",1,"","","","",1296,""
552,"","",1,17,"","","","",715,""
705,"","","",1,"","","","",1415,""
955,"","","",1,"","","","",1307,""
431,"","","",1,"","","","",1262,""
255,"","","",1,"","","","",1193,""
698,"","","",1,"","","","",1140,""
253,"","","",1,"","","","",1263,""
362,"","","",1,"","","","",1262,""
969,"","","",1,"","","","",1263,""
575,"","","",1,"","","","",803,""
911,"","","",1,"","","","",1262,""
306,"","",2,8,"","","","",318,""
607,"","","",1,"","","","",1191,""
225,"","","",1,"","","","",1263,""
235,"","","",1,"","","","",1197,""
498,"","","",1,"","","","",1263,""
580,"","","",1,"","","","",1366,""
641,"","","",1,"","","","",1263,""
39,"","","",1,"","","","",1262,""
426,"","","",1,"","","","",1263,""
689,"","","",1,"","","","",1182,""
882,"","","",1,"","","","",1341,""
704,"","","",1,"","","","",1262,""
883,"","","",1,"","","","",1354,""
473,"","","",1,"","","","",1205,""
618,"","","",1,"","","","",1263,""
630,"","","",1,"","","","",1262,""
417,"","","",1,"","","","",1136,""
696,"","","",1,"","","","",1149,""
83,"","",1,1,"","","","",320,""
887,"","","",1,"","","","",1009,""
915,"","","",1,"","","","",1002,""
109,"","","",1,"","","","",1364,""
900,"","","",1,"","","","",1182,""
954,"","","",1,"","","","",1353,""
587,"","","",1,"","","","",1361,""
690,"","","",1,"","","","",1262,""
445,"","","",1,"","","","",1262,""
602,"","","",1,"","","","",1342,""
706,"","","",1,"","","","",1262,""
996,"","","",1,"","","","",1009,""
157,"","","",1,"","","","",1146,""
651,"","","",1,"","","","",1262,""
91,"","",1,1,"","","","",320,""
469,"","","",1,"","","","",1191,""
583,"","","",1,"","","","",1014,""
884,"","","",1,"","","","",1009,""
923,"","","",1,"","","","",1065,""
151,"","","",1,"","","","",1286,""
355,"","","",6,"","","",1,1174,1331
367,"","","",1,"","","","",1262,""
598,"","","",1,"","","","",1342,""
499,"","","",1,"","","","",1262,""
984,"","","",1,"","","","",1348,""
368,"","","",8,"","","","",814,""
579,"","","",1,"","","","",1366,""
378,"","","",1,"","","","",1216,""
529,"","","",5,"","","","",1262,""
608,"","","",1,"","","","",1262,""
2,"","","",1,"","","","",1360,""
254,"","","",1,"","","","",1262,""
435,"","","",1,"","","","",1263,""
590,"","","",1,"","","","",1191,""
655,"","","",1,"","","","",1342,""
956,"","","",1,"","","","",1262,""
